name;link;address;lat;lon;categoryName;openingHours/0/day;openingHours/0/hours;openingHours/1/day;openingHours/1/hours;openingHours/2/day;openingHours/2/hours;openingHours/3/day;openingHours/3/hours;openingHours/4/day;openingHours/4/hours;openingHours/5/day;openingHours/5/hours;openingHours/6/day;openingHours/6/hours;permanentlyClosed;franchisePartner;rating;reviewCount
Café Guayacán;https://europeancoffeetrip.com/cafe/cafesguayacan-madrid/;Calle Fernández de los Ríos 26, Madrid, Spain;40.4350995;-3.7071314;Café;;;;;;;;;;;;;;;;FALSE;3.7;120
MINA SPECIALTY COFFEE;https://europeancoffeetrip.com/cafe/minaspecialtycoffee-madrid/;Calle Príncipe de Vergara 109, 28002 Madrid, Spain;40.4396396;-3.6791679;Café;;;;;;;;;;;;;;;;FALSE;3.6;73
[B]-bar;https://europeancoffeetrip.com/cafe/bbar-madrid/;C. de la Fuente del Berro 15, 28009 Madrid, Spain;40.4238499;-3.6709999;Café;;;;;;;;;;;;;;;;FALSE;3.9;146
Hanso 2;https://europeancoffeetrip.com/cafe/hanso2-madrid/;Cost.ª de los Ángeles, 7, 28013 Madrid, Spain;40.4186876;-3.7083502;Café;;;;;;;;;;;;;;;;FALSE;3.7;120
BRUTAL COFFEE;https://europeancoffeetrip.com/cafe/brutalcoffee-madrid/;Pl. del Ángel, 5, 28012 Madrid, Spain;40.4143183;-3.7018737;Café;;;;;;;;;;;;;;;;FALSE;3.8;174
East Crema Coffee Hermosilla;https://europeancoffeetrip.com/cafe/eastcrema-madrid/;C. de Hermosilla, 38, 28001 Madrid, Spain;40.4262072;-3.6830954;Café;;;;;;;;;;;;;;;;FALSE;3.6;255
ÖSS Kaffe;https://europeancoffeetrip.com/cafe/osskaffe-madrid/;Calle de Manuel Cortina, 1, 28010 Madrid, Spain;40.4307563;-3.6990676;Café;;;;;;;;;;;;;;;;FALSE;4.0;120
Ruda Café;https://europeancoffeetrip.com/cafe/rudacafe-madrid/;Calle de la Ruda 11, 28005 Madrid, Spain;40.4103864;-3.7080285;Café;;;;;;;;;;;;;;;;FALSE;3.4;61
COFI.;https://europeancoffeetrip.com/cafe/cofi-madrid/;Calle del Acuerdo, 36, 28015 Madrid, Spain;40.4290587;-3.7077288;Café;;;;;;;;;;;;;;;;FALSE;3.7;346
Toma Café Olavide;https://europeancoffeetrip.com/cafe/tomacafeolavide2-madrid/;C. de Sta. Feliciana, 5, 28010 Madrid, Spain;40.4331089;-3.7000696;Café;;;;;;;;;;;;;;;;FALSE;2.3;44
East Crema Coffee Príncipe;https://europeancoffeetrip.com/cafe/eastcremacoffeeprincipe-madrid/;C. del Príncipe de Vergara, 254, 28016 Madrid, Spain;40.4555656;-3.6769067;Café;;;;;;;;;;;;;;;;FALSE;3.3;234
East Crema Coffee Alfonso X;https://europeancoffeetrip.com/cafe/eastcremacoffeealfonsox-madrid/;C. de Alfonso X, 5, 28010 Madrid, Spain;40.4334731;-3.6921397;Café;;;;;;;;;;;;;;;;FALSE;2.2;122
NEPO CAFÉ;https://europeancoffeetrip.com/cafe/nepocafe-madrid/;Av. de Juan XXIII, 19, 28224 Madrid, Spain;40.44451;-3.8081172;Café;;;;;;;;;;;;;;;;FALSE;3.4;350
Drømme Kaffe House;https://europeancoffeetrip.com/cafe/drommekaffehouse-madrid/;C. de Juana Doña, 8, 28045 Madrid, Spain;40.395752;-3.6928637;Café;;;;;;;;;;;;;;;;FALSE;3.8;558
HanSo Café;https://europeancoffeetrip.com/cafe/hansocafe-madrid/;Corre. Baja de San Pablo, 51, 28004 Madrid, Spain;40.4235671;-3.7026322;Café;;;;;;;;;;;;;;;;FALSE;3.1;182
ACID Café;https://europeancoffeetrip.com/cafe/acidcafe-madrid/;C. de la Verónica, 9, 28014 Madrid, Spain;40.4118739;-3.6949317;Café;;;;;;;;;;;;;;;;FALSE;4.8;101
Plein Cafe & Deli;https://europeancoffeetrip.com/cafe/plein-madrid/;Veneros 2, 28221 Madrid, Spain;40.4689244;-3.8527758;Café;;;;;;;;;;;;;;;;FALSE;3.8;390
Pum pum bakery;https://europeancoffeetrip.com/cafe/pumpumbakery-madrid/;C. de la Esgrima, 1, 28012 Madrid, Spain;40.4113537;-3.7039329;Café;;;;;;;;;;;;;;;;FALSE;4.6;528
Hola Coffee;https://europeancoffeetrip.com/cafe/holacoffee-madrid/;Calle del Dr. Fourquet, 33, 28012 Madrid, Spain;40.4069806;-3.6990362;Café;;;;;;;;;;;;;;;;FALSE;4.4;75
East Crema Coffee Conde;https://europeancoffeetrip.com/cafe/eastcremacoffeeconde-madrid/;C. del Conde de Peñalver, 20, 28006 Madrid, Spain;40.4268974;-3.6753581;Café;;;;;;;;;;;;;;;;FALSE;4.2;166
Nopa Bagels;https://europeancoffeetrip.com/cafe/nopabagels-madrid/;Calle Meléndez Valdés 51, 28015 Madrid, Spain;40.4329691;-3.7149788;Café;;;;;;;;;;;;;;;;FALSE;3.9;151
Pastora;https://europeancoffeetrip.com/cafe/pastora-madrid/;Carrera de San Francisco, 12, 28005 Madrid, Spain;40.4109468;-3.7130715;Café;;;;;;;;;;;;;;;;FALSE;3.3;68
Hey My Coffee - Goya;https://europeancoffeetrip.com/cafe/heymycoffee-madrid/;Calle del General Díaz Porlier, 34, 28001 Madrid, Spain;40.427983;-3.676887;Café;;;;;;;;;;;;;;;;FALSE;2.5;335
Etual Café;https://europeancoffeetrip.com/cafe/etualcafe-madrid/;C. de la Alameda, 8, Centro, 28014 Madrid, Spain;40.4121475;-3.693932;Café;;;;;;;;;;;;;;;;FALSE;3.6;71
Ambu Coffee 3;https://europeancoffeetrip.com/cafe/ambucoffee3-madrid/;C. de las Huertas, 17, 28012 Madrid, Spain;40.4138499;-3.6997559;Café;;;;;;;;;;;;;;;;FALSE;4.3;121
DABOV Specialty Coffee Madrid;https://europeancoffeetrip.com/cafe/dabov-madrid/;C. de Sta. Isabel, 42, 28012 Madrid, Spain;40.4101374;-3.697467;Café;;;;;;;;;;;;;;;;FALSE;3.4;192
Religion Speciality Coffee;https://europeancoffeetrip.com/cafe/religionspecialtycoffee-madrid/;Calle de María de Molina, 24, 28006 Madrid, Spain;40.4375899;-3.6850623;Café;;;;;;;;;;;;;;;;FALSE;3.1;369
Aroma and Bread;https://europeancoffeetrip.com/cafe/aromaandbread-madrid/;Calle de Apodaca, 10, 28004 Madrid, Spain;40.4273167;-3.7004763;Café;;;;;;;;;;;;;;;;FALSE;2.3;121
Bucólico Café;https://europeancoffeetrip.com/cafe/bucolicocafe-madrid/;C. de Barbieri, 4, 28004 Madrid, Spain;40.4206889;-3.6982409;Café;;;;;;;;;;;;;;;;FALSE;3.2;111
Bocono Coffee;https://europeancoffeetrip.com/cafe/boconocoffee-madrid/;C. de Embajadores, 3, 28012 Madrid, Spain;40.410572;-3.7067046;Café;;;;;;;;;;;;;;;;FALSE;4.4;332
East Crema Coffee Eloy;https://europeancoffeetrip.com/cafe/eastcremacoffeeeloy-madrid/;C. de Eloy Gonzalo, 28, 28010 Madrid, Spain;40.4343482;-3.7006447;Café;;;;;;;;;;;;;;;;FALSE;3.4;210
Sood Coffee;https://europeancoffeetrip.com/cafe/sood-coffee-madrid/;C. de Menorca, 22, Retiro, 28009 Madrid, Spain;40.4193598;-3.6765482;Café;;;;;;;;;;;;;;;;FALSE;4.2;169
The Fix;https://europeancoffeetrip.com/cafe/thefix-madrid/;Calle de Luisa Fernanda, 15, 28008 Madrid, Spain;;;Café;;;;;;;;;;;;;;;;FALSE;2.5;98
Masamune Specialty Coffee;https://europeancoffeetrip.com/cafe/Masamune-madrid/;Calle de la Palma 2, 28004 Madrid, Spain;40.4261401;-3.7014788;Café;;;;;;;;;;;;;;;;FALSE;3.3;61
East Crema Coffee Diego;https://europeancoffeetrip.com/cafe/eastcremacoffeediego-madrid/;Calle de Diego de León, 12, 28006 Madrid, Spain;40.434891;-3.6846829;Café;;;;;;;;;;;;;;;;FALSE;4.3;274
Geisha Specialty Coffee;https://europeancoffeetrip.com/cafe/geisha-madrid/;Calle de las Navas de Tolosa, 6, 28013 Madrid, Spain;40.419227;-3.7066095;Café;;;;;;;;;;;;;;;;FALSE;3.0;36
OSOM Specialty Coffee;https://europeancoffeetrip.com/cafe/osomspecialtycoffee-madrid/;Calle de Sta. Teresa, 2, 28004 Madrid, Spain;40.4262223;-3.6965922;Café;;;;;;;;;;;;;;;;FALSE;3.8;253
Faraday;https://europeancoffeetrip.com/cafe/faraday-madrid/;Calle San Lucas, 9, 28004 Madrid, Spain;40.4914016;-3.8627683;Café;;;;;;;;;;;;;;;;FALSE;2.2;423
Siniestro Cafe;https://europeancoffeetrip.com/cafe/siniestro-madrid/;Calle del Conde Duque 5, 28015 Madrid, Spain;40.4261719;-3.7113935;Café;;;;;;;;;;;;;;;;FALSE;3.8;21
Oways Café;https://europeancoffeetrip.com/cafe/owayscafe-madrid/;Pl. de los Mostenses, 6, 28015 Madrid, Spain;40.4235538;-3.7086862;Café;;;;;;;;;;;;;;;;FALSE;4.6;68
Ambu Coffee 2;https://europeancoffeetrip.com/cafe/ambucoffee2-madrid/;C. de Núñez de Balboa, 28, 28001 Madrid, Spain;40.4255476;-3.6826625;Café;;;;;;;;;;;;;;;;FALSE;3.8;104
Monkee;https://europeancoffeetrip.com/cafe/monkeekoffee-madrid/;Calle de Vallehermoso, 112, 28003 Madrid, Spain;40.4403973;-3.7079523;Café;;;;;;;;;;;;;;;;FALSE;3.6;21
Ambu Coffee;https://europeancoffeetrip.com/cafe/ambucoffee-madrid/;C. del Pez, 36, 28004 Madrid, Spain;40.4242997;-3.7064353;Café;;;;;;;;;;;;;;;;FALSE;3.6;319
Holgura x Placeo;https://europeancoffeetrip.com/cafe/holguraxplaceo-madrid/;C. de Belmonte de Tajo, 34, 28019 Madrid, Spain;40.3923812;-3.7197961;Café;;;;;;;;;;;;;;;;FALSE;2.6;100
Bianchi Kiosko Caffé;https://europeancoffeetrip.com/cafe/bianchikioskocaffe-madrid/;C. de San Joaquín, 9, 28004 Madrid, Spain;40.424386;-3.701668;Café;;;;;;;;;;;;;;;;FALSE;2.5;128
Cafeteando;https://europeancoffeetrip.com/cafe/cafeteando-madrid/;Plaza de Olavide, 10, 28010 Madrid, Spain;40.4331127;-3.7005457;Café;;;;;;;;;;;;;;;;FALSE;4.0;571
Placeo Coffee;https://europeancoffeetrip.com/cafe/placeocoffeealonsocano-madrid/;C. de Alonso Cano 79, 28003 Madrid, Spain;40.4423982;-3.6974621;Café;;;;;;;;;;;;;;;;FALSE;3.8;204
