district,neighborhood,density (hab/ha),density (hab/km²)
CENTRO,TOTAL DISTRITO,278.1282277,27812.82
CENTRO,Palacio,165.5350704,16553.51
CENTRO,Embajadores,470.0590113,47005.9
CENTRO,Cortes,188.7312046,18873.12
CENTRO,Justicia,253.4352177,25343.52
CENTRO,Universidad,359.4198312,35941.98
CENTRO,Sol,191.0172917,19101.73
ARGANZUELA,TOTAL DISTRITO,242.2688868,24226.89
ARGANZUELA,Imperial,234.2461507,23424.62
ARGANZUELA,Acacias,339.8080865,33980.81
ARGANZUELA,Chopera,356.7453329,35674.53
ARGANZUELA,Legazpi,140.38883,14038.88
ARGANZUELA,Delicias,279.3685408,27936.85
ARGANZUELA,Palos de la Frontera,397.7483035,39774.83
ARGANZUELA,Atocha,27.82384124,2782.38
RETIRO,TOTAL DISTRITO,219.0863854,21908.64
RETIRO,Pacífico,444.982197,44498.22
RETIRO,Adelfas,296.8945069,29689.45
RETIRO,Estrella,222.0770356,22207.7
RETIRO,Ibiza,447.3577236,44735.77
RETIRO,Los Jerónimos,36.37221989,3637.22
RETIRO,Niño Jesús,237.3853568,23738.54
SALAMANCA,TOTAL DISTRITO,277.7575847,27775.76
SALAMANCA,Recoletos,181.4797847,18147.98
SALAMANCA,Goya,394.4047774,39440.48
SALAMANCA,Fuente del Berro,251.5716631,25157.17
SALAMANCA,Guindalera,267.6877964,26768.78
SALAMANCA,Lista,413.4179162,41341.79
SALAMANCA,Castellana,228.7561417,22875.61
CHAMARTÍN,TOTAL DISTRITO,161.4200861,16142.01
CHAMARTÍN,El Viso,102.6503627,10265.04
CHAMARTÍN,Prosperidad,355.3600615,35536.01
CHAMARTÍN,Ciudad Jardín,248.3011938,24830.12
CHAMARTÍN,Hispanoamérica,186.9430657,18694.31
CHAMARTÍN,Nueva España,139.8972124,13989.72
CHAMARTÍN,Castilla,81.5250081,8152.5
TETUÁN,TOTAL DISTRITO,309.2470277,30924.7
TETUÁN,Bellas Vistas,426.8875839,42688.76
TETUÁN,Cuatro Caminos,301.4599156,30145.99
TETUÁN,Castillejos,301.6319001,30163.19
TETUÁN,Almenara,241.0446268,24104.46
TETUÁN,Valdeacederas,238.9375967,23893.76
TETUÁN,Berruguete,441.6570581,44165.71
CHAMBERÍ,TOTAL DISTRITO,303.4364849,30343.65
CHAMBERÍ,Gaztambide,464.6199408,46461.99
CHAMBERÍ,Arapiles,431.1829817,43118.3
CHAMBERÍ,Trafalgar,413.9238438,41392.38
CHAMBERÍ,Almagro,213.157053,21315.71
CHAMBERÍ,Ríos Rosas,286.6721345,28667.21
CHAMBERÍ,Vallehermoso,189.2817059,18928.17
FUENCARRAL-EL PARDO,TOTAL DISTRITO,10.67523159,1067.52
