hora,distrito,direccion,latitude,longitude,avg_count
12:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,196.20
1:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,73.98
2:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,31.14
3:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,24.25
4:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,22.75
5:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,58.30
6:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,170.17
7:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,419.32
8:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,566.38
9:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,686.18
10:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,763.17
11:00:00 AM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,957.58
12:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,021.26"
1:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,217.24"
2:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,044.68"
3:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,882.20
4:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,989.63
5:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,176.29"
6:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,369.99"
7:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,355.36"
8:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,"1,169.78"
9:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,830.20
10:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,534.42
11:00:00 PM,Chamberí,"Alberto Aguilera 56, 28015 Madrid",40.430.469,-3.713.298,342.80
12:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,56.41
1:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,22.96
2:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,11.22
3:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,8.56
4:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,9.00
5:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,20.46
6:00:00 AM,Ciudad Lineal,Alcalá entre  Hermanos Machado y José María Pereda,40.432.945,-3.649.175,65.21
