euct_name,euct_lat,euct_lon,gp_rating,gp_reviewCount,gp_website,gp_openingHours,gp_source_id,gp_google_maps_url
Lille Drømme kaffe,40.3744278,-3.7250341,4.9,72,,Monday: Closed; Tuesday: 8:30 AM – 7:00 PM; Wednesday: 8:30 AM – 7:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 7:00 PM; Saturday: 9:30 AM – 2:00 PM; Sunday: 9:30 AM – 2:00 PM,ChIJG7GPe3EnQg0RnvI2EmvNppE,https://www.google.com/maps/place/?q=place_id:ChIJG7GPe3EnQg0RnvI2EmvNppE
Hey My Coffee - Sol,40.4177833,-3.7033467,4.8,528,http://heymycoffee.com/,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJdSDiuRUpQg0Rqh1Gr-nFnJI,https://www.google.com/maps/place/?q=place_id:ChIJdSDiuRUpQg0Rqh1Gr-nFnJI
ALCHEMY Specialty Coffee 2.0,40.4101967,-3.7091991,4.7,356,,Monday: 9:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJi0gZDdsnQg0R90qYvU_vyWw,https://www.google.com/maps/place/?q=place_id:ChIJi0gZDdsnQg0R90qYvU_vyWw
Slow Café,40.4101509,-3.711582,4.5,879,https://www.instagram.com/slowcafe.madrid/,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,ChIJDSzzoNcnQg0Rcpe-JkynlH0,https://www.google.com/maps/place/?q=place_id:ChIJDSzzoNcnQg0Rcpe-JkynlH0
Pan y Pepinillos Café,40.4239888,-3.7034337,4.9,2385,http://panypepinilloscafe.es/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJkUyQMx8pQg0RpEW71grm4_o,https://www.google.com/maps/place/?q=place_id:ChIJkUyQMx8pQg0RpEW71grm4_o
Scarlett Ópera - Palacio Real | Specialty Coffee • Real Food,40.4187726,-3.7105121,4.8,425,,Monday: 8:00 AM – 9:30 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 9:00 AM – 9:30 PM; Friday: 8:00 AM – 9:30 PM; Saturday: 8:00 AM – 9:30 PM; Sunday: 8:00 AM – 9:30 PM,ChIJuburKegpQg0R34iELzKBK3g,https://www.google.com/maps/place/?q=place_id:ChIJuburKegpQg0R34iELzKBK3g
BRUTAL COFFEE,40.4143183,-3.7018737,4.2,884,https://deartee.com/qr/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJi20NO0EpQg0ReWund5yaRcQ,https://www.google.com/maps/place/?q=place_id:ChIJi20NO0EpQg0ReWund5yaRcQ
Bocono Coffee,40.410572,-3.7067046,4.3,1472,https://boconospecialtycoffee.com/,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 7:30 PM; Sunday: 9:00 AM – 7:00 PM,ChIJMZhlxtUnQg0RWeFypVUAKn4,https://www.google.com/maps/place/?q=place_id:ChIJMZhlxtUnQg0RWeFypVUAKn4
Ambu Coffee,40.4242997,-3.7064353,4.2,913,https://ambu.coffee/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJ8_ggGZspQg0RlXn604dYkz8,https://www.google.com/maps/place/?q=place_id:ChIJ8_ggGZspQg0RlXn604dYkz8
Ruda Café,40.4103864,-3.7080285,4.6,1513,https://rudacafe.com/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJ0YT11dUnQg0RhTjwTVqvTO4,https://www.google.com/maps/place/?q=place_id:ChIJ0YT11dUnQg0RhTjwTVqvTO4
Sistema Café,40.4120196,-3.7146412,4.9,378,https://sistemacafe.webador.es/,"Monday: 9:00 AM – 1:00 PM, 3:00 – 6:00 PM; Tuesday: 9:00 AM – 1:00 PM, 3:00 – 6:00 PM; Wednesday: 9:00 AM – 1:00 PM, 3:00 – 6:00 PM; Thursday: 9:00 AM – 1:00 PM, 3:00 – 6:00 PM; Friday: 9:00 AM – 1:00 PM, 3:00 – 6:00 PM; Saturday: Closed; Sunday: 10:00 AM – 1:00 PM, 4:00 – 6:00 PM",ChIJ67WA_80nQg0RtwT9mW7RHW0,https://www.google.com/maps/place/?q=place_id:ChIJ67WA_80nQg0RtwT9mW7RHW0
