euct_name,euct_lat,euct_lon,gp_rating,gp_reviewCount,gp_website,gp_openingHours,gp_source_id,gp_google_maps_url
Tomcat coffee,50.0281864,14.3654372,4.8,291,https://www.facebook.com/tomcatcoffee,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJa5B8lzeXC0cRr53FNiji6v4,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJa5B8lzeXC0cRr53FNiji6v4
Cafe & pastry Luka,50.045021,14.3217159,4.9,65,http://www.cafepastryluka.cz/,Monday: 6:30 AM – 5:00 PM; Tuesday: 6:30 AM – 5:00 PM; Wednesday: 6:30 AM – 5:00 PM; Thursday: 6:30 AM – 5:00 PM; Friday: 6:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJHeEkbyiVC0cRlTR1WIReK-c,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJHeEkbyiVC0cRlTR1WIReK-c
Hábovka Café & Víno,50.04678,14.3105443,4.8,119,https://linktr.ee/Habovka?utm_source=linktree_profile_share&ltsid=65061200-dea5-47d2-b4e6-e98b312c6d7e,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJCzszNgC_C0cRs7lwLsxDrFg,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJCzszNgC_C0cRs7lwLsxDrFg
Kofyka Espresso Bar,50.049025,14.4532537,4.8,18,https://www.kofyka.com/,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:30 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJXdwijH-TC0cRsFJyExscUYQ,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJXdwijH-TC0cRsFJyExscUYQ
Objekt kafe,50.0353679,14.414611,4.8,78,http://objektkafe.cz/,Monday: 7:30 AM – 7:00 PM; Tuesday: 7:30 AM – 7:00 PM; Wednesday: 7:30 AM – 7:00 PM; Thursday: 7:30 AM – 7:00 PM; Friday: 7:30 AM – 7:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: Closed,ChIJZ0_jKgCVC0cR4_6LsxXq2vc,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJZ0_jKgCVC0cR4_6LsxXq2vc
Periferie Cafe,50.0370959,14.4123849,4.7,1135,https://www.periferiecafe.eu/,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 1:00 – 8:00 PM,ChIJi_BuzhuUC0cRQ290W3jXGV4,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJi_BuzhuUC0cRQ290W3jXGV4
eM3 Coffee,50.0043589,14.4165273,4.6,355,http://www.em3coffee.cz/,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: 8:00 AM – 5:00 PM,ChIJlYEONs6RC0cRlHXPY_GWqBg,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJlYEONs6RC0cRlHXPY_GWqBg
eM3 Coffee,50.0354259,14.3867452,4.7,375,https://www.em3coffee.cz/,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: 8:00 AM – 5:00 PM,ChIJI__3PtmVC0cRyCfo64Q8Wqg,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJI__3PtmVC0cRyCfo64Q8Wqg
Kiosek Petřiny,50.0868029,14.3402055,4.9,257,http://www.instagram.com/kiosek.coffee,Monday: 7:00 AM – 6:00 PM; Tuesday: 7:00 AM – 6:00 PM; Wednesday: 7:00 AM – 6:00 PM; Thursday: 7:00 AM – 6:00 PM; Friday: 7:00 AM – 6:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJDxSJzsa_C0cRwqsMe3Idc0I,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJDxSJzsa_C0cRwqsMe3Idc0I
The Miners Borislavka,50.0985693,14.3667547,4.7,649,https://www.theminers.eu/,Monday: 7:30 AM – 8:00 PM; Tuesday: 7:30 AM – 8:00 PM; Wednesday: 7:30 AM – 8:00 PM; Thursday: 7:30 AM – 8:00 PM; Friday: 7:30 AM – 8:00 PM; Saturday: 10:00 AM – 8:00 PM; Sunday: 10:00 AM – 8:00 PM,ChIJUSlc3BSVC0cRxd023KNtP20,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJUSlc3BSVC0cRxd023KNtP20
Helen's coffee Hůrka,50.050437,14.3420047,4.8,309,http://www.helenscoffee.cz/,Monday: 8:30 AM – 6:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJyTeGiTWVC0cRsQog743KiTk,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJyTeGiTWVC0cRsQog743KiTk
Zen espresso bar,50.0874166,14.3675516,4.7,102,https://www.instagram.com/zen_espressobar?igsh=MWRvcjc2dXVjbXVsZA==,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: 10:00 AM – 3:00 PM; Sunday: 10:00 AM – 3:00 PM,ChIJAbayE66VC0cRqDWjdqPg_aY,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJAbayE66VC0cRqDWjdqPg_aY
Anmi cafe,50.0891063,14.3466221,4.9,298,https://www.instagram.com/anmi.cafe,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJjXYIxGuVC0cRp9Scfr0sDN8,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJjXYIxGuVC0cRp9Scfr0sDN8
20m² Espresso bar,50.0844536,14.3758919,4.8,348,https://www.facebook.com/20m2_kapkafe-114605414003765/,Monday: 7:01 AM – 7:01 PM; Tuesday: 7:01 AM – 7:01 PM; Wednesday: 7:01 AM – 7:01 PM; Thursday: 7:01 AM – 7:01 PM; Friday: 7:01 AM – 7:01 PM; Saturday: 12:01 – 6:01 PM; Sunday: 12:01 – 6:01 PM,ChIJfcSZYhSVC0cRs7jZLBrmzBg,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJfcSZYhSVC0cRs7jZLBrmzBg
Tomcat coffee Košíře,50.0711731,14.3824134,4.8,156,,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJexTRMGOVC0cRZqWr-tEqrmI,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJexTRMGOVC0cRZqWr-tEqrmI
Helen's coffee Harmonická,50.0511405,14.3297737,4.7,621,http://www.helenscoffee.cz/,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJ_wEO8PSVC0cRWn4YxjSBKEE,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ_wEO8PSVC0cRWn4YxjSBKEE
Version Coffee,50.076791,14.4333274,4.7,716,http://versioncoffee.cz/,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 7:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJ_-RQmJ-VC0cRfPNrbUwIj-Y,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ_-RQmJ-VC0cRfPNrbUwIj-Y
