name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
Bocono Specialty Coffee,"CC X Madrid, C. Oslo, 53, 28922 Alcorcón, Madrid, Spain",40.339632800000004,-3.8483544,4.6,343,https://boconospecialtycoffee.com/,Monday: 9:30 AM – 9:30 PM; Tuesday: 9:30 AM – 9:30 PM; Wednesday: 9:30 AM – 9:30 PM; Thursday: 9:30 AM – 9:30 PM; Friday: 9:30 AM – 9:30 PM; Saturday: 9:30 AM – 9:30 PM; Sunday: 9:30 AM – 9:30 PM,ChIJOSqsDwCPQQ0Rb_Rd3WBDMbw,Regular Cafe,coffee_shop,2026-02-02T10:48:54.939Z,https://www.google.com/maps/place/?q=place_id:ChIJOSqsDwCPQQ0Rb_Rd3WBDMbw
Panettone,"Av. las Retamas, 65, 28922 Alcorcón, Madrid, Spain",40.3380861,-3.8280535999999996,4.6,101,,Monday: 8:30 AM – 9:30 PM; Tuesday: 8:30 AM – 9:30 PM; Wednesday: 8:30 AM – 9:30 PM; Thursday: 8:30 AM – 9:30 PM; Friday: 8:30 AM – 9:30 PM; Saturday: 8:30 AM – 9:30 PM; Sunday: 8:30 AM – 9:30 PM,ChIJATNqQCOPQQ0RWKbFKGe4HdM,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJATNqQCOPQQ0RWKbFKGe4HdM
Restaurante A Bodeguiña I. (Centro Empresas),"C. Químicas, 2, Centro de Empresas, 28923 IMEPE, Madrid, Spain",40.336844899999996,-3.8174337,4.9,150,https://www.abodeguiña.com/,Monday: 7:00 AM – 6:00 PM; Tuesday: 7:00 AM – 6:00 PM; Wednesday: 7:00 AM – 6:00 PM; Thursday: 7:00 AM – 6:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,ChIJKfRFAeSJQQ0RxZFnR9WZYVU,Regular Cafe,farm,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJKfRFAeSJQQ0RxZFnR9WZYVU
Gastrobar & bakery Mucha Miga cervecería,"Av. las Retamas, 28922 Alcorcón, Madrid, Spain",40.3379502,-3.8288732,4.2,397,,Monday: 7:30 AM – 12:00 AM; Tuesday: 7:30 AM – 12:00 AM; Wednesday: 7:30 AM – 12:00 AM; Thursday: 7:30 AM – 12:00 AM; Friday: 7:30 AM – 12:00 AM; Saturday: 7:30 AM – 1:00 AM; Sunday: 7:30 AM – 1:00 AM,ChIJFyUFklWPQQ0Rm9U5IolrOhA,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJFyUFklWPQQ0Rm9U5IolrOhA
Café & Té,"Av. de Pablo Iglesias, 17, 28942 Fuenlabrada, Madrid, Spain",40.302926299999996,-3.831408,2.9,7,,Monday: 9:00 AM – 10:30 PM; Tuesday: 9:00 AM – 10:30 PM; Wednesday: 9:00 AM – 10:30 PM; Thursday: 9:00 AM – 10:30 PM; Friday: 9:00 AM – 10:30 PM; Saturday: 9:00 AM – 10:30 PM; Sunday: 9:00 AM – 10:30 PM,ChIJHdjvuXOMQQ0R9qv8yMfq6SU,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJHdjvuXOMQQ0R9qv8yMfq6SU
Supracafé S.A.,"C. Torres Quevedo, 15, 28936 Móstoles, Madrid, Spain",40.317620999999995,-3.8461819999999998,4.3,90,https://www.supracafe.com/,Monday: 7:00 AM – 4:30 PM; Tuesday: 7:00 AM – 4:30 PM; Wednesday: 7:00 AM – 4:30 PM; Thursday: 7:00 AM – 4:30 PM; Friday: 7:00 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,ChIJgbVavyKMQQ0RvwlUw4HOOVM,Regular Cafe,food,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJgbVavyKMQQ0RvwlUw4HOOVM
Bombón Boss,"Av. de Pablo Iglesias, 17 Centro Comercial Plaza Loranca 2, Locales 100 y 101, 28942 Fuenlabrada, Madrid, Spain",40.302665,-3.8308583,3.9,115,https://bombonboss.com/es/,Monday: 8:30 AM – 9:30 PM; Tuesday: 8:00 AM – 9:30 PM; Wednesday: 8:00 AM – 9:30 PM; Thursday: 8:00 AM – 9:30 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 9:30 PM; Sunday: 8:00 AM – 9:30 PM,ChIJV_gSMfqNQQ0ReSSuhX43wX0,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJV_gSMfqNQQ0ReSSuhX43wX0
"Cafés Guilis, desde 1928","C. Aeronáutica, 8, 28923 Alcorcón, Madrid, Spain",40.3353357,-3.8166292,3.4,78,http://www.cafesguilis.com/,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJNdrk9lCJQQ0R6KKE_oOxbD4,Regular Cafe,wholesaler,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJNdrk9lCJQQ0R6KKE_oOxbD4
Abbantia Coffee,"Pol. Ind. Urtinsa II, C. Aeronáutica, 8, 28923 Alcorcón, Madrid, Spain",40.335224,-3.816441,2.6,14,,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM,ChIJzdvk9lCJQQ0RVpJo4i1cVeI,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJzdvk9lCJQQ0RVpJo4i1cVeI
Cafés La Mexicana,"Centro Comercial Loranca, Av. de Pablo Iglesias, 17, 28942 Fuenlabrada, Madrid, Spain",40.3032709,-3.8318440999999996,4.3,183,http://www.lamexicana.es/,Monday: 9:00 AM – 9:30 PM; Tuesday: 9:00 AM – 9:30 PM; Wednesday: 9:00 AM – 9:30 PM; Thursday: 9:00 AM – 9:30 PM; Friday: 9:00 AM – 9:30 PM; Saturday: 9:00 AM – 9:30 PM; Sunday: 10:30 AM – 8:00 PM,ChIJxRWSeW-MQQ0RHEwL9iJem6Y,Regular Cafe,food_store,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJxRWSeW-MQQ0RHEwL9iJem6Y
Gusto Coffee And Bakery,"C. la Coruña, 6, 28914 Leganés, Madrid, Spain",40.3208945,-3.7540547,4.4,12,,"Monday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Tuesday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Wednesday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Thursday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Friday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Saturday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM; Sunday: 7:30 AM – 2:30 PM, 5:00 – 9:00 PM",ChIJ9evGFeiLQQ0RA0pb0Rrtdwg,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJ9evGFeiLQQ0RA0pb0Rrtdwg
Vivari coffee & Bakery,"Av. de la Universidad, 1, 28911 Leganés, Madrid, Spain",40.329205099999996,-3.7632466,4.4,111,,Monday: 7:00 AM – 9:30 PM; Tuesday: 7:00 AM – 9:30 PM; Wednesday: 7:00 AM – 9:30 PM; Thursday: 7:00 AM – 9:30 PM; Friday: 7:00 AM – 9:30 PM; Saturday: 7:00 AM – 9:30 PM; Sunday: 7:30 AM – 9:30 PM,ChIJ6x2bADmLQQ0RNPkOtZ0w4mw,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJ6x2bADmLQQ0RNPkOtZ0w4mw
EPOCA Cafetería & Panadería,"Av. de Fuenlabrada, 3, 28912 Leganés, Madrid, Spain",40.333729999999996,-3.7605773,4,48,,Monday: 6:00 AM – 11:30 PM; Tuesday: 6:00 AM – 11:30 PM; Wednesday: 6:00 AM – 11:30 PM; Thursday: 6:00 AM – 11:30 PM; Friday: 6:00 AM – 11:30 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 11:00 PM,ChIJVVXlFPSJQQ0RXi3ho-Oqhac,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJVVXlFPSJQQ0RXi3ho-Oqhac
Cafetería Eiffel Cervecería,"C. Santo Ángel, 10, 28912 Leganés, Madrid, Spain",40.3327805,-3.7616449,4.1,308,,Monday: 7:00 AM – 9:30 PM; Tuesday: 7:00 AM – 9:30 PM; Wednesday: 7:00 AM – 9:30 PM; Thursday: 7:00 AM – 9:30 PM; Friday: 7:00 AM – 9:30 PM; Saturday: 8:00 AM – 9:30 PM; Sunday: 9:00 AM – 3:30 PM,ChIJFbSg8PSJQQ0R3RnnFqrOjZw,Regular Cafe,coffee_shop,2026-02-02T10:48:54.941Z,https://www.google.com/maps/place/?q=place_id:ChIJFbSg8PSJQQ0R3RnnFqrOjZw
