name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
Coffee Gallery,"Radlická 117, 158 00 Praha 5, Czechia",50.0470396,14.354767200000001,4,3,https://coffeegallery.cz/,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJCT2I8F-VC0cROqXhkMszVK8,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJCT2I8F-VC0cROqXhkMszVK8
NIPPAN BAKERY,"K Barrandovu 1173/8, 152 00 Praha 5-Hlubočepy, Czechia",50.026958699999994,14.3679699,4.9,250,https://nippan.cz/,Monday: Closed; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJv0889viXC0cRWkD3KFcFpXI,Regular Cafe,bakery,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJv0889viXC0cRWkD3KFcFpXI
Tiny Café Butky Park,"Radlická 520/117, 158 00 Praha 5-Jinonice, Czechia",50.0464056,14.355433399999999,4.8,5,http://www.tinycafe.cz/,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJmXltAwCVC0cRfUom8IRe0KI,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJmXltAwCVC0cRfUom8IRe0KI
Dalejka kafe & koloniál,"Nad Dalejským údolím 2699/9, 155 00 Praha 13, Czechia",50.035371399999995,14.329427099999998,4.7,157,http://www.kafedalejka.cz/,Monday: 10:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJ0YrdWbeXC0cRtycu0HKKWwQ,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ0YrdWbeXC0cRtycu0HKKWwQ
La Zmrzka Café - Barrandov,"Náměstí Olgy Scheinpflugové 1284/2, 152 00 Praha 5-Barrandov, Czechia",50.0301401,14.3621704,4.5,137,http://www.lazmrzka.cz/,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJR9xrLLaXC0cREHPbSYD1RNg,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJR9xrLLaXC0cREHPbSYD1RNg
HS Cafe Luka,"Mukařovského 2590/2, 155 00 Praha 13-Stodůlky, Czechia",50.0454219,14.3229013,5,2,https://www.hammerstrength.cz/cs/pobocka-luka/hs-cafe-3,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJwU5p8rKVC0cRYMs4TUFP0WI,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJwU5p8rKVC0cRYMs4TUFP0WI
Petit Barrandov,"Voskovcova 1035/22, 152 00 Praha 5-Barrandov, Czechia",50.029834,14.368289499999998,4.3,78,http://petitbarrandov.cz/,Monday: 7:30 AM – 7:00 PM; Tuesday: 7:30 AM – 7:00 PM; Wednesday: 7:30 AM – 7:00 PM; Thursday: 7:30 AM – 7:00 PM; Friday: 7:30 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,ChIJWfR2h8yXC0cR-hfa3aLNGX4,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJWfR2h8yXC0cR-hfa3aLNGX4
Kavárna a vinárna KRISTIAN,"Grussova 6, 152 00 Praha 5-Barrandov, Czechia",50.0355324,14.3736704,4.5,203,https://www.instagram.com/cafe_kristian/,Monday: 7:30 AM – 9:00 PM; Tuesday: 7:30 AM – 9:00 PM; Wednesday: 7:30 AM – 9:00 PM; Thursday: 7:30 AM – 9:00 PM; Friday: 7:30 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJu11fIaSVC0cRO8wf-JXhj3U,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJu11fIaSVC0cRO8wf-JXhj3U
Felicity food,"2256, Archeologická 2256/1, 155 00 Praha 13, Czechia",50.0439611,14.331935300000001,4.1,47,https://felicityfood.cz/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJj2nzNQCVC0cR3hqTLE4-yW8,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJj2nzNQCVC0cR3hqTLE4-yW8
KB Café,"nám. Junkových 2772/1, 155 00 Praha 5, Czechia",50.046408799999995,14.306470399999998,,,https://www.perfectcanteen.cz/canteens/komercni-banka,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,ChIJf5sjzp6_C0cRsrph8d9UMDA,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJf5sjzp6_C0cRsrph8d9UMDA
Bonneville Cafe & Co.,"Šífařská 548/4, 147 00 Praha 4-Hodkovičky, Czechia",50.0214761,14.402931,5,20,https://www.tcrb.eu/bonneville-cafe-co/,Monday: 9:00 AM – 8:00 PM; Tuesday: Closed; Wednesday: Closed; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 10:00 AM – 6:00 PM,ChIJFzc4HQCXC0cRB1acN7j2zmE,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJFzc4HQCXC0cRB1acN7j2zmE
Libuškafe,"Novodvorská 800/21, 142 00 Praha-Libuš, Czechia",50.013462999999994,14.4522751,5,19,,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 12:00 – 9:00 PM; Sunday: 12:00 – 9:00 PM,ChIJk687v3CRC0cR5Cte92iQIuY,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJk687v3CRC0cR5Cte92iQIuY
Kontík Libuš,"Meteorologická, 142 00 Praha-Libuš, Czechia",50.0057903,14.457439899999997,4.9,233,,Monday: 12:00 – 7:00 PM; Tuesday: 12:00 – 7:00 PM; Wednesday: 12:00 – 7:00 PM; Thursday: 12:00 – 7:00 PM; Friday: 12:00 – 7:00 PM; Saturday: 2:00 – 7:00 PM; Sunday: 2:00 – 7:00 PM,ChIJ31sg4q-RC0cRBECwKMmdc20,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ31sg4q-RC0cRBECwKMmdc20
ZahálCafé,"Mezi Vodami 2417/39, Belárie, 143 00 Praha-Praha 12, Czechia",50.0168575,14.400741900000002,4.6,49,https://www.zahalcafe.cz/,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM,ChIJ9cVF_a-XC0cRfnglVjUWjbU,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ9cVF_a-XC0cRfnglVjUWjbU
Crowd Cafe,"Na Líše 1284/12, 141 00 Praha 4, Czechia",50.046603399999995,14.4657153,4.7,182,http://www.crowdcafe.cz/,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,ChIJdfZDQkiTC0cRbbptAuP4ogo,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJdfZDQkiTC0cRbbptAuP4ogo
"An Pastry (coffee, bakery, tea)","Branická 147/65, 147 00 Praha 4-Braník, Czechia",50.0357511,14.4140888,5,137,https://www.instagram.com/anpastry_cz?igsh=MXBhcWFqN202emtkMQ==,Monday: 8:30 AM – 7:00 PM; Tuesday: 8:30 AM – 7:00 PM; Wednesday: 8:30 AM – 7:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 7:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJE-Kj1nOVC0cRxSEGhXouMms,Regular Cafe,bakery,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJE-Kj1nOVC0cRxSEGhXouMms
KAVÁRNA ..DVA ŠÁLKY..,"Budějovická 13, 140 00 Praha 4, Czechia",50.046211,14.447696100000002,4.7,130,,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 12:00 – 7:00 PM; Sunday: Closed,ChIJ4fDCEQCTC0cRc4WAMMad2KY,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ4fDCEQCTC0cRc4WAMMad2KY
Café VELOKLASIK,"Pikovická 516, 147 00 Praha 4-Braník, Czechia",50.030184399999996,14.4075341,4.7,253,https://cafe.veloklasik.cz/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJy2vZiC6XC0cRaqGxjuMMqo8,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJy2vZiC6XC0cRaqGxjuMMqo8
ESSA CRÈME by tatacake.cz,"Zelený pruh 99, 140 00 Praha-Praha 4, Czechia",50.039577099999995,14.429066899999999,5,4,https://www.instagram.com/tatacake.cz?igsh=MzExMjN4MWFjbWdu&utm_source=qr,Monday: 10:00 AM – 6:30 PM; Tuesday: 10:00 AM – 6:30 PM; Wednesday: 10:00 AM – 6:30 PM; Thursday: 10:00 AM – 6:30 PM; Friday: 10:00 AM – 6:30 PM; Saturday: 11:00 AM – 4:00 PM; Sunday: 11:00 AM – 4:00 PM,ChIJFzQErWKVC0cRdNOHYnCtEdY,Regular Cafe,pastry_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJFzQErWKVC0cRdNOHYnCtEdY
Café Parkofka,"Pod dálnicí 1592/13, 140 00 Praha 4-Michle, Czechia",50.0459278,14.4596627,4.7,188,https://cafeparkofka.cz/,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 7:00 PM; Saturday: 10:00 AM – 7:00 PM; Sunday: 10:00 AM – 7:00 PM,ChIJ50W1UwCTC0cRZdsbquRYkoQ,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJ50W1UwCTC0cRZdsbquRYkoQ
Microsoft Cafe,"Vyskočilova 1561/4a, 140 00 Praha 4, Czechia",50.047956199999994,14.457643000000001,5,1,,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJSbz9FACTC0cR66DTbJMVqo8,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJSbz9FACTC0cR66DTbJMVqo8
Cafe Residence,"Ke Krči 1873/60, 147 00 Praha 4, Czechia",50.0340172,14.415211299999998,4.6,313,https://caferesidence.com/,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJR0e-mQiVC0cRhqwZuNeiHKM,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJR0e-mQiVC0cRhqwZuNeiHKM
Kavárna Dvě Páky,"Zimova 1025/1B, 142 00 Praha 12, Czechia",50.0068202,14.450491200000002,5,87,https://www.instagram.com/kavarna_dve_paky/,Monday: 7:30 AM – 6:00 PM; Tuesday: 7:30 AM – 6:00 PM; Wednesday: 7:30 AM – 6:00 PM; Thursday: 7:30 AM – 6:00 PM; Friday: 7:30 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJAw30AACRC0cRVQh-DUd_lXo,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJAw30AACRC0cRVQh-DUd_lXo
Kávafaktura Modřany,"Čs. exilu 40, 143 00 Praha 12, Czechia",50.0046293,14.416481099999999,4.7,412,http://kavafaktura.cz/,Monday: 7:30 AM – 7:00 PM; Tuesday: 7:30 AM – 7:00 PM; Wednesday: 7:30 AM – 7:00 PM; Thursday: 7:30 AM – 7:00 PM; Friday: 7:30 AM – 7:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJV1CiDP6RC0cROBQl4ofuD2M,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJV1CiDP6RC0cROBQl4ofuD2M
