name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
Fitness Center Manuel Manchado,"C. de Madrid, 12, 28911 Leganés, Madrid, Spain",40.330241199999996,-3.7650375,4.6,67,,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 3:00 PM,ChIJG9VhmoqJQQ0Rc2dVeY1yIco,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJG9VhmoqJQQ0Rc2dVeY1yIco
Fit Gym Star,"Av. de Leganés, 2, 28921 Alcorcón, Madrid, Spain",40.3519554,-3.8261174,4.2,594,http://www.fit-star.es/,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 12:00 AM; Thursday: 6:00 AM – 12:00 AM; Friday: 6:00 AM – 12:00 AM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJq9S2ScuOQQ0RyocgC9tJyrE,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJq9S2ScuOQQ0RyocgC9tJyrE
Fitness Park Alcorcón - X-Madrid,"X-Madrid, C. Oslo, 53, 28922 Madrid, Spain",40.3393047,-3.8477567,4.5,2767,https://www.fitnesspark.es/club/alcorcon-x-madrid/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Alcorcon-X-Madrid&utm_content=Yext,Monday: 6:00 AM – 1:00 AM; Tuesday: 6:00 AM – 1:00 AM; Wednesday: 6:00 AM – 1:00 AM; Thursday: 6:00 AM – 1:00 AM; Friday: 6:00 AM – 1:00 AM; Saturday: 6:00 AM – 1:00 AM; Sunday: 6:00 AM – 1:00 AM,ChIJj2S1XVmPQQ0R9G4QtiYJ77I,Gym,fitness_center,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJj2S1XVmPQQ0R9G4QtiYJ77I
Basic-Fit,"Av. Puerta del Sol, 2, 28914 Leganés, Madrid, Spain",40.3440221,-3.7598125999999996,4.3,2942,https://www.basic-fit.com/es-es/clubs/basic-fit-legan%C3%A9s-avd.-puerta-del-sol-a705d3a23ca74abc984eb07cea025063.html?utm_medium=yext&utm_source=gmb,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 12:00 AM; Thursday: 6:00 AM – 12:00 AM; Friday: 6:00 AM – 12:00 AM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,ChIJ5aWaDoGKQQ0RcgMZrYGGQ0o,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ5aWaDoGKQQ0RcgMZrYGGQ0o
Coliseum Gym,"C. Petróleo, 18, 28925 Alcorcón, Madrid, Spain",40.3506498,-3.8009966000000004,4.5,376,http://coliseumgym.es/,Monday: 8:00 AM – 11:00 PM; Tuesday: 8:00 AM – 11:00 PM; Wednesday: 8:00 AM – 11:00 PM; Thursday: 8:00 AM – 11:00 PM; Friday: 8:00 AM – 11:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: 10:00 AM – 2:00 PM,ChIJ_V-LmEuJQQ0R-FuQRWYQFns,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ_V-LmEuJQQ0R-FuQRWYQFns
Gimnasio VivaGym Leganés centro,"C. del Aligustre, 5, 28912 Leganés, Madrid, Spain",40.328196,-3.762374,4.4,418,https://www.vivagym.com/es-es/gimnasios/madrid/leganes/leganes/?utm_campaign=250922_es_gmb_conversion_generic_leganes-centro&utm_medium=organic&utm_source=gmb,"Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:30 AM – 2:00 PM, 5:00 – 8:30 PM; Sunday: 8:30 AM – 2:00 PM, 5:00 – 8:30 PM",ChIJFxSFlGaLQQ0RPJoNQiu5-44,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJFxSFlGaLQQ0RPJoNQiu5-44
Skygym Alcorcón,"Av. las Retamas, 80, 28922 Alcorcón, Madrid, Spain",40.338086,-3.8261049999999996,4,428,https://skygym.es/,"Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 9:00 AM – 3:00 PM, 5:00 – 9:00 PM; Sunday: 9:00 AM – 3:00 PM",ChIJN6q-lrKOQQ0RNKLgLbUYHbc,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJN6q-lrKOQQ0RNKLgLbUYHbc
Legafitness,"C. el Charco, 13, 28911 Leganés, Madrid, Spain",40.3281446,-3.7682946999999998,4.1,357,http://www.legafitness.com/,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 9:00 AM – 3:00 PM,ChIJ3aYZvyCKQQ0RzWePvDJ9XTI,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ3aYZvyCKQQ0RzWePvDJ9XTI
FITNESS BOXING GYM,"C. Nuncio, 9, 28911 Leganés, Madrid, Spain",40.330241699999995,-3.767358,4.9,92,https://www.gimnasiofitnesboxing.es/es/,Monday: 9:30 AM – 10:30 PM; Tuesday: 9:30 AM – 10:30 PM; Wednesday: 9:30 AM – 10:30 PM; Thursday: 9:30 AM – 10:30 PM; Friday: 9:30 AM – 10:30 PM; Saturday: 11:00 AM – 2:30 PM; Sunday: Closed,ChIJZTmJh-CJQQ0R8m98CX4P3ZU,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJZTmJh-CJQQ0R8m98CX4P3ZU
Dreamfit gym Alcorcon,"C. Los Robles, 10, 28922 Alcorcón, Madrid, Spain",40.33005500000001,-3.842815,4.1,938,https://www.dreamfit.es/centros/alcorcon,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 3:00 PM,ChIJ-4YGD6GOQQ0RxGmy7lCmq-0,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ-4YGD6GOQQ0RxGmy7lCmq-0
