name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
R5 Gym,,50.08409,14.429881,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.08409,14.429881"
Železná koule,,50.0751775,14.487928,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0751775,14.487928"
Form Factory Fitness Vinohrady,"Vinohradská, 190, Praha 3",50.0781156,14.4744798,,,https://www.formfactory.cz/klub/fitness-vinohradska/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0781156,14.4744798"
Hammer Strength Fitness,,50.1085541,14.4866433,,,https://www.hammerstrength.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1085541,14.4866433"
Holmes Place,"Křižíkova, 44",50.0928212,14.4532284,,,https://www.formfactory.cz/en/club/fitness-karlin/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0928212,14.4532284"
Gym Cornicula,"Zličínská, 5, Praha 6",50.0773122,14.3237414,,,https://www.gymcornicula.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0773122,14.3237414"
Synergy Club Anděl,"Stroupežnického, 3181/21",50.0712104,14.4025775,,,https://www.synergyclub.cz,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0712104,14.4025775"
Fitness Galaxie,"Arkalycká, 877/1, Praha 4 - Háje",50.031879,14.5283704,,,https://fitnessgalaxie.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.031879,14.5283704"
Figure studio,,50.0789302,14.4470963,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0789302,14.4470963"
White Sage Therapy,,50.0833961,14.413913,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0833961,14.413913"
BeeFit,,50.0521004,14.4309609,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0521004,14.4309609"
Dum Jogy,,50.028759,14.4901673,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.028759,14.4901673"
Venkovní fitness,,50.1340023,14.5551755,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1340023,14.5551755"
Fictactiv,,50.0263782,14.4901992,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0263782,14.4901992"
džej :zí,,50.0203587,14.4937817,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0203587,14.4937817"
JOKY fitness,"Šrobárova, 2159/9",50.0759386,14.465248,,,https://jokyfitness.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0759386,14.465248"
Lagoon,,50.1345377,14.504951,,,https://www.letnanylagoon.cz/fitness,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1345377,14.504951"
Tělocvična TJ Sokol Prosek,,50.1184773,14.4948804,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1184773,14.4948804"
Gym Park,"V Parku, 8",50.0284561,14.4929029,,,https://gym-park.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0284561,14.4929029"
Tvůj soukromý gym,"Gutova, 71/22, Praha 10",50.0701236,14.4887884,,,https://caponigym.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0701236,14.4887884"
Kutil Gym,,50.0821569,14.4573253,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0821569,14.4573253"
FitTop,,50.085114,14.4454475,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.085114,14.4454475"
Karlovka,"Karlova, 25, Praha",50.0862942,14.4188669,,,https://www.facebook.com/omkarlovka/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0862942,14.4188669"
Fresh kruháč,,50.098409,14.3592118,,,https://freshkruhac.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.098409,14.3592118"
