title,url,price,priceByArea,transfer,size,address,district,latitude,longitude,bathrooms,features/hasAirConditioning,features/hasStorefront,date_posted,image_url
"Commercial premises in Calle de José Calvo, Berruguete, Madrid",https://www.idealista.com/en/inmueble/109434360/,995,24.88,,40,"Calle de José Calvo, Berruguete, Madrid",Berruguete,40.4590931,-3.7095559,1.0,FALSE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/9c/71/1374538192.jpg
"Commercial premises in Calle de Concepción Jerónima, 21, Lavapiés-Embajadores, Madrid",https://www.idealista.com/en/inmueble/107210749/,2300,10.18,,226,"Calle de Concepción Jerónima, 21, Lavapiés-Embajadores, Madrid",Lavapiés-Embajadores,40.4138452,-3.7058932,2.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/08/71/e6/1306265793.jpg
"Commercial premises in Calle de Ocaña, 14, Aluche, Madrid",https://www.idealista.com/en/inmueble/110503410/,2500,30.49,,82,"Calle de Ocaña, 14, Aluche, Madrid",Aluche,40.3839184,-3.7543728,2.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/f3/9e/1406909073.jpg
"Commercial premises in Calle del Bronce, 4, Legazpi, Madrid",https://www.idealista.com/en/inmueble/110249697/,2900,20.71,,140,"Calle del Bronce, 4, Legazpi, Madrid",Legazpi,40.392643,-3.6892654,3.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/4b/c6/1402136274.jpg
"Commercial premises in Calle del Pensamiento, Cuzco-Castillejos, Madrid",https://www.idealista.com/en/inmueble/110501170/,1800,21.69,,83,"Calle del Pensamiento, Cuzco-Castillejos, Madrid",Cuzco-Castillejos,40.4594171,-3.6967336,2.0,FALSE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/ac/d5/1406854453.jpg
"Commercial premises in Calle del Corazón de María, 5, Prosperidad, Madrid",https://www.idealista.com/en/inmueble/109929852/,7000,21.74,,322,"Calle del Corazón de María, 5, Prosperidad, Madrid",Prosperidad,40.4410737,-3.6710531,2.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/1a/b8/1394462295.jpg
"Commercial premises in Paseo de las Delicias, 37, Palos de la Frontera, Madrid",https://www.idealista.com/en/inmueble/110498982/,2400,24.0,,100,"Paseo de las Delicias, 37, Palos de la Frontera, Madrid",Palos de la Frontera,40.4037444,-3.6932891,1.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/92/1d/1406787949.jpg
"Commercial premises in Gaztambide, Madrid",https://www.idealista.com/en/inmueble/110153792/,3860,20.32,,190,"Gaztambide, Madrid",Gaztambide,40.4367586,-3.7159045,,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/17/77/1396871476.jpg
"Commercial premises in Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",https://www.idealista.com/en/inmueble/109989919/,3100,19.38,,160,"Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",Nuevos Ministerios-Ríos Rosas,40.4453057,-3.7014863,4.0,TRUE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/a6/16/1391913770.jpg
"Commercial premises in Calle de las Huertas, 52, Huertas-Cortes, Madrid",https://www.idealista.com/en/inmueble/110495064/,2000,28.57,,70,"Calle de las Huertas, 52, Huertas-Cortes, Madrid",Huertas-Cortes,40.4131128,-3.696774,2.0,FALSE,TRUE,,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/49/60/1406669836.jpg
