Category,Name,Lat,Lon,Address,MapsURL,Status
Train Station,Říčany,49.9975873,14.6636523,,"https://www.google.com/maps/search/49.9975873,14.6636523",
Train Station,Praha-Zbraslav,49.9701735,14.3996671,,"https://www.google.com/maps/search/49.9701735,14.3996671",
Train Station,Praha-Radotín,49.9856288,14.3638195,,"https://www.google.com/maps/search/49.9856288,14.3638195",
Train Station,Praha-Horní Počernice,50.1166626,14.6124935,,"https://www.google.com/maps/search/50.1166626,14.6124935",
Train Station,Praha-Dejvice,50.096947,14.3995004,,"https://www.google.com/maps/search/50.096947,14.3995004",
Train Station,Mstětice,50.1360055,14.6896115,"27, Mstětice","https://www.google.com/maps/search/50.1360055,14.6896115",
Train Station,Praha-Běchovice,50.0822331,14.5979391,,"https://www.google.com/maps/search/50.0822331,14.5979391",
Train Station,Praha-Stodůlky,50.0621745,14.3460299,,"https://www.google.com/maps/search/50.0621745,14.3460299",
Train Station,Roztoky u Prahy,50.1599345,14.3984616,,"https://www.google.com/maps/search/50.1599345,14.3984616",
Train Station,Praha-Smíchov,50.0609821,14.4081269,,"https://www.google.com/maps/search/50.0609821,14.4081269",
University,Filozofická fakulta Univerzity Karlovy – Šporkův palác,50.0873096,14.4303674,"Hybernská, 1036/3, Praha 1","https://www.google.com/maps/search/50.0873096,14.4303674",
University,Fakulta elektrotechnická ČVUT,50.1026303,14.3929788,,"https://www.google.com/maps/search/50.1026303,14.3929788",
University,Fakulta strojní ČVUT,50.1033264,14.3916818,,"https://www.google.com/maps/search/50.1033264,14.3916818",
University,Kloknerův výzkumný a zkušební ústav hmot a konstrukcí stavebních ČVUT,50.1014965,14.3919974,,"https://www.google.com/maps/search/50.1014965,14.3919974",
University,Centrum informačních a poradenských služeb ČVUT,50.1057834,14.3890386,,"https://www.google.com/maps/search/50.1057834,14.3890386",
Shopping Center,Hasso,50.105548,14.574247,,"https://www.google.com/maps/search/50.105548,14.574247",
University,North Carolina State University - Prague Institute,50.0864618,14.4189931,,"https://www.google.com/maps/search/50.0864618,14.4189931",
University,Bankovní Institut Vysoká škola,50.0529861,14.3329965,,"https://www.google.com/maps/search/50.0529861,14.3329965",
University,"Filozofická fakulta Univerzity Karlovy, Celetná 20",50.0869973,14.4241908,,"https://www.google.com/maps/search/50.0869973,14.4241908",
Train Station,Praha-Ruzyně,50.0841825,14.3121846,,"https://www.google.com/maps/search/50.0841825,14.3121846",
University,Music and Dance Faculty of the Academy of Performing Arts in Prague,50.0878924,14.4020164,,"https://www.google.com/maps/search/50.0878924,14.4020164",
Train Station,Praha-Čakovice,50.1488787,14.5194492,,"https://www.google.com/maps/search/50.1488787,14.5194492",
University,Akademie můzických umění,50.0875481,14.4012684,,"https://www.google.com/maps/search/50.0875481,14.4012684",
University,Academy of Performing Arts in Prague,50.087649,14.4023543,"Malostranské náměstí, 259/12, Praha","https://www.google.com/maps/search/50.087649,14.4023543",
University,Film and TV School of the Academy of Performing Arts in Prague,50.0816826,14.41321,"Smetanovo nábřeží, 1012/2, Praha","https://www.google.com/maps/search/50.0816826,14.41321",
Train Station,Praha-Řeporyje,50.0323235,14.3094301,,"https://www.google.com/maps/search/50.0323235,14.3094301",
University,Husitská teologická fakulta UK,50.0450469,14.4416791,"Pacovská, 350/4, Praha 4","https://www.google.com/maps/search/50.0450469,14.4416791",
Train Station,Prague Main Station,50.0829628,14.4360939,,"https://www.google.com/maps/search/50.0829628,14.4360939",
Shopping Center,Fashion Arena Outlet Center,50.0739727,14.5403529,,"https://www.google.com/maps/search/50.0739727,14.5403529",
University,Newton College,50.0834346,14.4254009,"Václavské náměstí, 11, Praha","https://www.google.com/maps/search/50.0834346,14.4254009",
University,Vysoká škola obchodní,50.0807505,14.420339,,"https://www.google.com/maps/search/50.0807505,14.420339",
Train Station,Rudná u Prahy,50.0393759,14.2426596,,"https://www.google.com/maps/search/50.0393759,14.2426596",
Train Station,Praha-Žvahov,50.0455772,14.4022036,,"https://www.google.com/maps/search/50.0455772,14.4022036",
University,Business Institut EDU,50.0714761,14.4542642,,"https://www.google.com/maps/search/50.0714761,14.4542642",
